email,level,location,name,nickName
gib@gmail.com,1,Acre,"Gibson Antoniento",gibzin
cleilton_nunes@gmail.com,1,"Mato Grosso do Sul","Cleilton Nunes",yuzuo09
maria_helena@gmail.com,1,Ceará,"Maria Helena",maryh
lu_eduardo@gmail.com,1,"Rio Grande do Sul","Luis Eduardo",dudu09
joao@gmail.com,1,Alagoas,"João Cleber",clebso
kaique_f@gmail.com,1,Ceará,"Kaique Freitas",kf1
"estela_gonsalves@gmail.com",1,"Minas Gerais","Estela Gonsalves",estel12
jeff@gmail.com,1,Paraíba,"Jefferson Antonieto",jeffson
romis@gmail.com,1,Pernambuco,"Rômulo Gomes",romis
lopes@gmail.com,1,"Espírito Santo","Nonato Lopes",nonato283
